Student_ID,Name,Gender,Age,Study_Hours,Attendance,Math,Science,English
101,Student_1,Male,23,2,87,86,55,82
102,Student_2,Female,20,7,88,82,65,73
103,Student_3,Male,21,9,99,91,78,60
104,Student_4,Male,21,6,86,93,52,98
105,Student_5,Male,18,9,91,73,69,57
106,Student_6,Female,20,6,99,64,85,85
107,Student_7,Male,22,3,65,81,68,87
108,Student_8,Male,20,8,99,81,75,89
109,Student_9,Male,22,6,78,73,52,69
110,Student_10,Female,18,9,67,90,68,84
111,Student_11,Male,19,3,65,98,69,97
112,Student_12,Male,21,2,69,98,81,74
113,Student_13,Male,18,5,90,61,56,84
114,Student_14,Male,21,5,78,88,90,74
115,Student_15,Female,23,5,91,51,82,78
116,Student_16,Male,19,6,73,52,89,67
117,Student_17,Female,19,2,79,98,88,95
118,Student_18,Female,18,6,79,86,67,67
119,Student_19,Female,19,8,90,98,89,51
120,Student_20,Male,22,6,77,66,50,84
121,Student_21,Female,19,2,96,98,60,65
122,Student_22,Male,21,2,96,51,77,90
123,Student_23,Female,21,8,68,51,74,85
124,Student_24,Female,21,2,94,77,99,82
125,Student_25,Female,21,9,87,72,72,53
126,Student_26,Female,22,2,79,86,80,82
127,Student_27,Female,20,5,93,81,79,63
128,Student_28,Female,23,9,77,82,91,70
129,Student_29,Female,18,9,96,50,84,97
130,Student_30,Female,21,8,71,68,56,69
131,Student_31,Male,19,4,86,51,65,57
132,Student_32,Male,21,4,92,93,75,56
133,Student_33,Female,19,2,66,75,97,52
134,Student_34,Female,23,9,70,81,98,66
135,Student_35,Female,23,4,92,55,51,82
136,Student_36,Male,23,4,92,81,50,97
137,Student_37,Female,19,2,84,53,97,61
138,Student_38,Male,21,4,94,60,61,71
139,Student_39,Male,23,6,75,66,54,71
140,Student_40,Male,22,3,92,87,86,95
141,Student_41,Male,19,8,89,73,81,79
142,Student_42,Male,19,3,97,54,58,87
143,Student_43,Female,21,2,65,83,90,87
144,Student_44,Female,19,5,91,55,84,94
145,Student_45,Female,19,8,77,71,68,57
146,Student_46,Female,23,2,67,60,97,76
147,Student_47,Female,21,9,70,97,65,76
148,Student_48,Male,23,5,72,65,52,83
149,Student_49,Female,23,3,91,82,69,70
150,Student_50,Female,21,2,73,58,73,79
